Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","11928",Ch1Unknown,"ZFY",,0.19,ddPCR Supermix for Probes (no dUTP),,0.25,0.14,0.25,0.14,51,315914,3,48,5220,310694,0.00817,315965,,,,,,,,0.0097,0.0124,0.0042,0.0124,0.007,0.96,1.22,0.42,1.22,0.7,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02,E02,F02,G02)",0.218,0.164,0.218,0.165,,,,,0.011,0.0058,0.011,0.0083,1.09,0.59,1.09,0.83,
"M02",Absolute Quantification,"ABS","NTC",Ch1Unknown,"ZFY",,0.011,ddPCR Supermix for Probes (no dUTP),,0.024,0.002,0.024,0.004,5,521963,0,5,13,521950,0,521968,,,,,,,,0.38,,,0.79,0,28,,,49,6,1,1,,,,,"","(A03,A08,A09,A10,B03,B08,B09,B10,C08,C09,D05,D07,D08,D09,E07,E08,E09,F07,F08,F09,G08,G09,H02,H08,H09)",0.017,0.007,0.017,0.007,,,,,,,0.59,0.18,,,38,17,
"M03",Absolute Quantification,"ABS","12945",Ch1Unknown,"ZFY",,0.98,ddPCR Supermix for Probes (no dUTP),,1.1,0.87,1.1,0.87,281,335879,7,274,8116,327763,0.000753,336160,,,,,,,,0.0342,0.0383,0.0287,0.0383,0.0301,3.31,3.69,2.81,3.69,2.93,1,1,,,,,"","(A04,A05,B04,B05,C03,C04,C05,D03,D04,E03,E04,F03,F04,G03,G04,H03,H04)",1.04,0.93,1.04,0.93,,,,,0.0363,0.0307,0.0363,0.0321,3.5,2.99,3.5,3.11,
"M04",Absolute Quantification,"ABS","14917",Ch1Unknown,"ZFY",,0.59,ddPCR Supermix for Probes (no dUTP),,0.69,0.48,0.69,0.5,144,285537,3,141,8419,277118,0,285681,,,,,,,,0.0168,0.0196,0.0125,0.0196,0.0141,1.66,1.93,1.24,1.93,1.39,1,1,,,,,"","(A06,A07,B06,B07,C06,C07,D06,E05,E06,F05,F06,G05,G06,H05,H06)",0.64,0.53,0.643,0.544,,,,,0.0183,0.0138,0.0183,0.0154,1.79,1.37,1.79,1.52,
"M05",Absolute Quantification,"ABS","Male",Ch1Unknown,"ZFY",,153.5,ddPCR Supermix for Probes (no dUTP),,157.8,149.3,157.8,149.3,4995,35839,636,4359,4504,31335,0.272,40834,,,,,,,,0.97,1.008,0.932,1.008,0.932,49.2,50.2,48.3,50.2,48.3,1,1,,,,,"","(G07,H07)",155.7,151.3,155.7,151.3,,,,,0.989,0.95,0.989,0.951,49.73,48.74,49.73,48.74,
"M01",Absolute Quantification,"ABS","11928",Ch2Unknown,"ZFX",,19.6,ddPCR Supermix for Probes (no dUTP),,21.1,18.1,20.1,19.1,5223,310742,3,48,5220,310694,0.00817,315965,,,,,,,,0.0097,0.0124,0.0042,0.0124,0.007,0.96,1.22,0.42,1.22,0.7,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02,E02,F02,G02)",20.3,18.8,19.88,19.34,,,,,0.011,0.0058,0.011,0.0083,1.09,0.59,1.09,0.83,
"M02",Absolute Quantification,"ABS","NTC",Ch2Unknown,"ZFX",,0.029,ddPCR Supermix for Probes (no dUTP),,0.048,0.011,0.048,0.016,13,521955,0,5,13,521950,0,521968,,,,,,,,0.38,,,0.79,0,28,,,49,6,1,1,,,,,"","(A03,A08,A09,A10,B03,B08,B09,B10,C08,C09,D05,D07,D08,D09,E07,E08,E09,F07,F08,F09,G08,G09,H02,H08,H09)",0.039,0.02,0.038,0.022,,,,,,,0.59,0.18,,,38,17,
"M03",Absolute Quantification,"ABS","12945",Ch2Unknown,"ZFX",,28.8,ddPCR Supermix for Probes (no dUTP),,29.6,27.9,29.4,28.2,8123,328037,7,274,8116,327763,0.000753,336160,,,,,,,,0.0342,0.0383,0.0287,0.0383,0.0301,3.31,3.69,2.81,3.69,2.93,1,1,,,,,"","(A04,A05,B04,B05,C03,C04,C05,D03,D04,E03,E04,F03,F04,G03,G04,H03,H04)",29.18,28.29,29.1,28.46,,,,,0.0363,0.0307,0.0363,0.0321,3.5,2.99,3.5,3.11,
"M04",Absolute Quantification,"ABS","14917",Ch2Unknown,"ZFX",,35.2,ddPCR Supermix for Probes (no dUTP),,37.3,32.9,36,34.5,8422,277259,3,141,8419,277118,0,285681,,,,,,,,0.0168,0.0196,0.0125,0.0196,0.0141,1.66,1.93,1.24,1.93,1.39,1,1,,,,,"","(A06,A07,B06,B07,C06,C07,D06,E05,E06,F05,F06,G05,G06,H05,H06)",36.2,34,35.59,34.82,,,,,0.0183,0.0138,0.0183,0.0154,1.79,1.37,1.79,1.52,
"M05",Absolute Quantification,"ABS","Male",Ch2Unknown,"ZFX",,158.3,ddPCR Supermix for Probes (no dUTP),,165,152,162.6,154,5140,35694,636,4359,4504,31335,0.272,40834,,,,,,,,0.97,1.008,0.932,1.008,0.932,49.2,50.2,48.3,50.2,48.3,1,1,,,,,"","(G07,H07)",161.7,154.8,160.5,156.1,,,,,0.989,0.95,0.989,0.951,49.73,48.74,49.73,48.74,
"A01",Absolute Quantification,"ABS","11928",Ch1Unknown,"ZFY","Manual",0.11,ddPCR Supermix for Probes (no dUTP),2.2,,,0.35,0.02,2,21243,0,2,398,20845,0,21245,,,,,,,,0.005,,,0.013,0,0.5,,,1.2,0,1,1,6311,11664,2197.5,2198.4,"",,,,0.21,0.05,,,,,,,0.0087,0.0013,,,0.86,0.13,
"B01",Absolute Quantification,"ABS","11928",Ch1Unknown,"ZFY","Manual",0.33,ddPCR Supermix for Probes (no dUTP),6.6,,,0.67,0.13,6,21662,0,6,365,21297,0,21668,,,,,,,,0.016,,,0.03,0.003,1.6,,,2.9,0.3,1,1,6311,11537,2216.3,2218.9,"",,,,0.48,0.21,,,,,,,0.023,0.01,,,2.3,0.9,
"C01",Absolute Quantification,"ABS","11928",Ch1Unknown,"ZFY","Manual",0.23,ddPCR Supermix for Probes (no dUTP),4.6,,,0.55,0.07,4,20334,0,4,291,20043,0,20338,,,,,,,,0.014,,,0.028,0,1.3,,,2.7,0,1,1,6311,11376,2177.1,2178.9,"",,,,0.37,0.13,,,,,,,0.021,0.007,,,2,0.7,
"D01",Absolute Quantification,"ABS","11928",Ch1Unknown,"ZFY","Manual",0.05,ddPCR Supermix for Probes (no dUTP),1,,,0.26,0,1,21497,0,1,326,21171,0,21498,,,,,,,,0.003,,,0.01,0,0.3,,,1,0,1,1,6311,11901,2213.9,2214.3,"",,,,0.14,0.01,,,,,,,0.0064,0,,,0.64,0,
"E01",Absolute Quantification,"ABS","11928",Ch1Unknown,"ZFY","Manual",0.27,ddPCR Supermix for Probes (no dUTP),5.4,,,0.58,0.09,5,21959,0,5,366,21593,0,21964,,,,,,,,0.014,,,0.026,0.001,1.3,,,2.5,0.1,1,1,6311,11574,2209.3,2211.4,"",,,,0.41,0.16,,,,,,,0.02,0.007,,,1.9,0.7,
"F01",Absolute Quantification,"ABS","11928",Ch1Unknown,"ZFY","Manual",0.38,ddPCR Supermix for Probes (no dUTP),7.6,,,0.74,0.16,7,21723,0,7,340,21383,0,21730,,,,,,,,0.02,,,0.036,0.005,2,,,3.5,0.5,1,1,6311,11834,2238.2,2241.3,"",,,,0.54,0.25,,,,,,,0.028,0.013,,,2.8,1.2,
